id	tIndex	tSent	tDownStart	tDownEnd	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	1100371	1205750	1312272	0	0	0	0	0
1	1	1312272	1417564	1857413	0	0	0	0	0
2	2	1857413	1962706	2781388	1	0	0	0	0
3	3	2781388	2886681	5121662	3	0	0	0	0
4	4	5121662	5226955	6816015	3	0	0	0	0
5	5	6816015	6921351	8354993	3	0	0	0	0
6	6	8354993	8460286	10366271	0	0	4	0	0
7	7	10366271	10471607	13141801	0	0	5	0	0
8	8	13141801	13247137	15096700	0	0	4	0	0
9	9	15096700	15202036	16849871	0	0	4	0	0
10	10	16849871	16955207	18690661	0	0	0	0	4
11	11	18690661	18795954	20380380	0	0	0	0	4
12	12	20380380	20485716	21959952	0	0	0	0	4
13	13	21959952	22065288	23756997	5	0	0	0	0
14	14	23756997	23862333	25806444	5	0	0	0	0
15	15	25806444	25911780	28967972	5	0	0	0	0
16	16	28967972	29073264	30921843	0	4	0	0	0
17	17	30921843	31027179	33168418	0	4	0	0	0
18	18	33168418	33273754	34615443	0	3	0	0	0
19	19	34615443	34720736	36020828	0	3	0	0	0
20	20	36020828	36126120	38807006	4	0	0	0	0
21	21	38807006	38912299	41244542	3	0	0	0	0
22	22	41244542	41349835	43257921	3	0	0	0	0
23	23	43257921	43363214	45143124	3	0	0	0	0
24	24	45143124	45248416	46714555	3	0	0	0	0
25	25	46714555	46819891	48212558	3	0	0	0	0
