tIndex	vpoint	Start	q_v1	q_v2	q_v3	q_v4	q_v5
0	0	407864	0	0	0	0	0
1	0	2407864	0	0	0	0	0
2	0	4407864	1	0	0	0	0
3	0	6407864	3	0	0	0	0
4	2	8407864	3	0	0	0	0
5	2	10407864	3	0	0	0	0
6	2	12407864	0	0	0	0	0
7	2	14407864	0	0	0	0	0
8	2	16407864	0	0	1	0	0
9	4	18407864	0	0	2	0	0
10	4	20407864	0	0	2	0	0
11	4	22407864	0	0	2	0	0
12	4	24407864	0	0	0	0	2
13	0	26407864	0	0	0	0	3
14	0	28407864	0	0	0	0	3
15	0	30407864	0	0	0	0	2
16	0	32407864	2	0	0	0	0
17	1	34407864	0	0	0	0	0
18	1	36407864	0	0	0	0	0
19	1	38750959	0	0	0	0	0
20	1	41338408	0	0	0	0	0
21	1	46204656	0	0	0	0	0
22	0	50322771	0	0	0	0	0
23	0	53798365	0	0	0	0	0
24	0	56563562	0	0	0	0	0
25	0	59024029	0	0	0	0	0
26	0	61583230	0	0	0	0	0
27	0	64315315	0	0	0	0	0
28	0	66315315	0	0	0	0	0
29	0	68315315	0	0	0	0	0
30	0	70315315	4	0	0	0	0
31	0	72315315	4	0	0	0	0
32	0	74315315	4	0	0	0	0
33	0	76315315	4	0	0	0	0
34	1	78315315	4	0	0	0	0
35	1	80315315	5	0	0	0	0
36	1	82315315	5	0	0	0	0
37	1	84315315	0	5	0	0	0
38	0	86315315	0	5	0	0	0
39	0	88315315	0	5	0	0	0
40	0	90315315	0	5	0	0	0
41	0	92315315	0	5	0	0	0
42	0	94315315	5	0	0	0	0
43	0	96315315	5	0	0	0	0
